Symbol,現價,DPI,5D_DPI,Edge,防禦價,位階,戰術,板塊
PKB,106.34,80.12,0.0,-22.25,106.0,逆轉,⏳ 觀望,指數基金
PKBK,30.12,64.8,0.0,-21.86,35.0,逆轉,⏳ 觀望,金融
PKE,33.94,70.66,52.02,-38.92,20.0,牛勢,⏳ 觀望,工業
PKG,212.52,76.6,63.09,-25.64,210.0,反彈,⏳ 觀望,消費
PKOH,26.73,65.34,0.0,-43.18,17.5,牛勢,⏳ 觀望,工業
PKST,20.98,61.19,61.16,-40.52,17.5,牛勢,⏳ 觀望,房地產
PKW,136.54,64.8,0.0,-13.64,134.0,反彈,⏳ 觀望,指數基金
PKX,71.04,77.6,0.0,-39.09,50.0,牛勢,⏳ 觀望,原物料
PLD,140.03,67.52,50.62,-21.08,135.0,逆轉,⏳ 觀望,房地產
PLSE,23.1,78.41,79.12,-72.51,25.0,牛勢,⏳ 觀望,醫療
PLTW,23.5,64.86,51.78,-63.21,23.0,逆轉,⏳ 觀望,指數基金
PLXS,249.32,65.78,63.87,-38.04,155.0,牛勢,⏳ 觀望,科技
PNFP,97.17,70.0,56.58,-31.36,95.0,牛勢,⏳ 觀望,金融
PNR,92.31,65.2,58.73,-26.34,85.0,反彈,⏳ 觀望,工業
PNTG,29.36,78.92,91.15,-37.51,25.0,逆轉,⏳ 觀望,醫療
PNW,102.45,59.23,66.2,-15.77,100.0,逆轉,⏳ 觀望,公用事業
POOL,225.24,62.11,63.0,-32.71,220.0,逆轉,⏳ 觀望,工業
POST,103.8,61.3,68.42,-24.57,90.0,逆轉,⏳ 觀望,Consumer Defensive
POWI,70.57,73.14,70.72,-50.6,40.0,牛勢,⏳ 觀望,科技
POWR,27.9,71.67,66.63,-15.79,24.93,逆轉,⏳ 觀望,指數基金
PPG,111.0,78.19,76.79,-27.8,100.0,逆轉,⏳ 觀望,Basic Materials
PPIH,32.54,63.7,29.59,-70.49,25.0,逆轉,⏳ 觀望,工業
PPL,38.85,62.69,61.34,-16.29,30.0,逆轉,⏳ 觀望,公用事業
PPLT,180.13,45.1,66.92,-50.32,170.0,反彈,⏳ 觀望,指數基金
PRA,24.7,81.88,63.25,-4.98,22.5,止跌回升,⏳ 觀望,金融
PRAX,330.84,73.56,60.49,-125.43,320.0,牛勢,⏳ 觀望,醫療
PRCT,24.02,74.65,55.32,-56.12,22.5,牛勢,⏳ 觀望,醫療
PRDO,32.48,66.15,50.07,-35.97,30.0,逆轉,⏳ 觀望,防禦性消費
PRF,50.9,59.49,61.27,-10.96,46.0,逆轉,⏳ 觀望,指數基金
PRG,30.0,61.27,64.85,-38.27,30.0,逆轉,⏳ 觀望,工業
PRI,279.48,82.56,0.0,-21.13,260.0,牛勢,⏳ 觀望,金融
PRIM,173.04,69.06,70.58,-45.49,150.0,牛勢,⏳ 觀望,工業
PRK,173.29,76.0,0.0,-25.3,90.0,逆轉,⏳ 觀望,金融
PRKS,34.24,83.43,74.73,-48.49,35.0,牛勢,⏳ 觀望,消費
PRLB,64.5,62.62,0.0,-42.57,50.0,牛勢,⏳ 觀望,工業
PRME,3.66,60.17,63.84,-102.58,2.0,牛勢,⏳ 觀望,醫療
PRN,228.0,89.63,0.0,-26.37,210.0,牛勢,⏳ 觀望,指數基金
PROF,6.73,78.62,0.0,-78.66,5.0,牛勢,⏳ 觀望,醫療
PRTA,11.99,66.84,61.55,-60.67,9.0,牛勢,⏳ 觀望,醫療
PRVA,23.52,65.58,60.36,-32.14,20.0,牛勢,⏳ 觀望,醫療
PSA,312.0,82.67,69.34,-21.63,260.0,逆轉,⏳ 觀望,Real Estate
PSCT,71.64,89.49,0.0,-28.84,59.0,牛勢,⏳ 觀望,指數基金
PSI,130.11,70.93,76.08,-36.09,115.0,牛勢,⏳ 觀望,指數基金
PSIL,19.56,50.65,70.54,-41.81,13.0,牛勢,⏳ 觀望,指數基金
PSK,31.47,61.54,0.0,-6.03,22.0,止跌回升,⏳ 觀望,指數基金
PSMT,155.08,71.04,83.39,-27.24,145.0,逆轉,⏳ 觀望,防禦性消費
PSNY,17.74,70.8,0.0,-89.94,15.0,牛勢,⏳ 觀望,消費
PSP,60.16,63.3,62.8,-18.91,60.0,逆轉,⏳ 觀望,指數基金
PTF,111.5,54.06,74.22,-35.96,120.0,牛勢,⏳ 觀望,指數基金
PUMP,17.21,60.19,45.59,-72.55,12.5,牛勢,⏳ 觀望,能源
PVH,93.38,65.48,61.9,-45.29,50.0,牛勢,⏳ 觀望,消費
PVLA,123.07,73.14,63.2,-77.76,80.0,牛勢,⏳ 觀望,醫療
PWB,142.76,65.58,0.0,-18.15,90.0,逆轉,⏳ 觀望,指數基金
PWP,21.86,71.73,68.85,-40.66,22.5,牛勢,⏳ 觀望,金融
PWR,637.63,62.74,70.28,-32.11,550.0,牛勢,⏳ 觀望,工業
PWRD,109.12,55.5,87.15,-22.58,120.0,逆轉,⏳ 觀望,指數基金
PWV,68.6,91.29,91.29,-9.62,58.0,反彈,⏳ 觀望,指數基金
PXE,36.4,84.49,94.42,-26.61,36.0,牛勢,⏳ 觀望,指數基金
PXF,70.08,67.05,52.81,-14.1,67.0,反彈,⏳ 觀望,指數基金
PXJ,45.0,62.77,0.0,-25.98,30.0,牛勢,⏳ 觀望,指數基金
PZA,23.34,78.42,45.05,-4.2,22.0,止跌回升,⏳ 觀望,指數基金
PZZA,37.37,61.88,63.05,-50.08,27.5,牛勢,⏳ 觀望,消費
QAI,35.44,61.47,82.49,-5.68,35.0,反彈,⏳ 觀望,指數基金
QCLN,57.22,69.38,97.92,-33.59,44.0,牛勢,⏳ 觀望,指數基金
QCRH,91.26,67.71,0.0,-25.42,85.0,逆轉,⏳ 觀望,金融
QDEF,81.65,78.71,0.0,-9.94,72.0,反彈,⏳ 觀望,指數基金
QDVO,29.56,74.1,61.67,-12.43,27.0,逆轉,⏳ 觀望,指數基金
QGRW,62.07,86.86,84.81,-17.69,60.0,牛勢,⏳ 觀望,指數基金
QLD,80.15,73.38,65.99,-32.06,70.0,牛勢,⏳ 觀望,指數基金
QLYS,85.14,78.18,67.0,-41.78,95.0,逆轉,⏳ 觀望,科技
QNST,13.15,60.33,68.28,-45.24,7.5,牛勢,⏳ 觀望,通訊
QQQ,663.63,65.72,56.94,-16.05,600.0,逆轉,⏳ 觀望,指數基金
QQQA,66.02,93.85,0.0,-23.56,63.0,牛勢,⏳ 觀望,指數基金
QQQJ,40.29,41.2,79.1,-17.72,36.0,逆轉,⏳ 觀望,指數基金
QQQM,273.25,56.78,65.93,-16.02,220.0,逆轉,⏳ 觀望,指數基金
QRVO,85.84,73.33,60.09,-32.91,87.5,逆轉,⏳ 觀望,科技
QSR,78.85,54.85,64.63,-22.06,62.5,牛勢,⏳ 觀望,消費
QTOP,35.05,67.37,42.1,-17.36,31.0,牛勢,⏳ 觀望,指數基金
QTUM,131.99,68.69,61.72,-24.91,121.0,牛勢,⏳ 觀望,指數基金
QUAL,207.18,63.06,62.85,-12.37,193.0,逆轉,⏳ 觀望,指數基金
QUS,172.62,78.31,96.87,-9.55,170.0,反彈,⏳ 觀望,指數基金
QXO,20.45,68.13,73.7,-58.8,19.0,逆轉,⏳ 觀望,工業
QYLG,28.48,63.38,0.0,-12.12,28.22,逆轉,⏳ 觀望,指數基金
R,249.14,54.18,66.13,-33.52,185.0,牛勢,⏳ 觀望,工業
RAAX,41.3,74.93,66.44,-13.41,31.0,逆轉,⏳ 觀望,指數基金
RACE,347.81,71.07,64.44,-33.31,330.0,逆轉,⏳ 觀望,消費
RAMP,29.62,68.71,71.75,-41.94,25.0,牛勢,⏳ 觀望,科技
RAPP,35.45,91.35,75.43,-108.36,35.0,牛勢,⏳ 觀望,醫療
RARE,23.98,63.42,65.38,-79.84,22.5,牛勢,⏳ 觀望,醫療
RBA,107.77,63.89,57.51,-25.51,92.5,逆轉,⏳ 觀望,工業
RBCAA,75.12,74.0,0.0,-25.46,40.0,逆轉,⏳ 觀望,金融
RBRK,53.06,72.44,72.51,-59.34,45.0,牛勢,⏳ 觀望,科技
RC,1.88,68.58,62.61,-48.66,1.0,牛勢,⏳ 觀望,Real Estate
RCAT,11.73,65.77,55.74,-113.44,12.0,反彈,⏳ 觀望,工業
RCL,258.81,66.36,60.76,-43.33,260.0,止跌回升,⏳ 觀望,消費
RCUS,24.95,70.51,58.31,-62.61,22.5,牛勢,⏳ 觀望,醫療
RDNT,57.8,73.11,60.77,-41.32,50.0,逆轉,⏳ 觀望,醫療
RDTL,20.34,61.27,51.94,-128.52,13.0,牛勢,⏳ 觀望,指數基金
RDVI,27.58,64.15,37.31,-13.44,25.0,逆轉,⏳ 觀望,指數基金
RDVY,74.51,48.62,60.21,-14.25,61.0,逆轉,⏳ 觀望,指數基金
RDWR,26.46,62.3,0.0,-34.57,27.0,牛勢,⏳ 觀望,科技
REFI,12.22,57.14,73.63,-22.31,10.0,逆轉,⏳ 觀望,Real Estate
RELX,36.38,76.19,55.98,-28.7,30.0,牛勢,⏳ 觀望,工業
REMX,101.43,60.64,55.6,-45.83,70.0,牛勢,⏳ 觀望,指數基金
RES,7.84,62.26,64.55,-45.98,5.0,牛勢,⏳ 觀望,能源
REYN,20.84,77.77,63.62,-24.46,20.0,止跌回升,⏳ 觀望,消費
REZI,40.5,67.71,41.38,-53.22,22.5,牛勢,⏳ 觀望,工業
RF,28.28,79.84,74.07,-24.86,28.0,逆轉,⏳ 觀望,金融
RGEN,118.37,42.07,60.02,-43.84,120.0,反彈,⏳ 觀望,醫療
RGTI,16.93,67.55,62.04,-103.72,16.0,牛勢,🎯 進攻獵人 (BC),科技
RHI,26.16,78.93,70.48,-49.1,25.0,牛勢,⏳ 觀望,工業
RHP,101.87,64.98,51.17,-24.15,90.0,逆轉,⏳ 觀望,Real Estate
RIGL,30.54,62.14,61.58,-65.54,26.0,牛勢,⏳ 觀望,醫療
RIOX,32.05,72.57,46.02,-164.83,10.0,牛勢,⏳ 觀望,指數基金
RITM,10.12,60.34,56.4,-21.48,8.0,牛勢,⏳ 觀望,房地產
RJF,154.31,82.18,74.11,-24.14,145.0,逆轉,⏳ 觀望,金融
RL,370.54,64.18,63.95,-30.62,320.0,逆轉,⏳ 觀望,消費
RLI,51.46,56.94,60.76,-20.87,55.0,止跌回升,⏳ 觀望,金融
RLJ,8.04,64.55,46.53,-28.38,2.5,逆轉,⏳ 觀望,房地產
RLY,35.92,78.09,62.44,-9.85,35.0,反彈,⏳ 觀望,指數基金
RMAX,9.77,60.25,38.16,-51.06,5.0,牛勢,⏳ 觀望,房地產
