Symbol,Sector
PH,工業
PID,其他
PII,消費
PINS,通訊
PIPR,金融
PIT,其他
PKBK,金融
PKG,消費
PKST,房地產
PKW,其他
PKX,原物料
PL,工業
PLD,房地產
PLSE,醫療
PLUL,其他
PNQI,其他
PNR,工業
POET,科技
POOL,工業
POWI,科技
POWR,其他
PPIH,工業
PPSI,工業
PRAX,醫療
PRCH,金融
PRDO,防禦性消費
PRF,其他
PRG,工業
PRI,金融
PRLB,工業
PSCT,其他
PSMT,防禦性消費
PSP,其他
PTEN,能源
PTF,其他
PUK,金融
PVH,消費
PWB,其他
PWR,工業
PXE,其他
PXF,其他
PXJ,其他
PZA,其他
PZZA,消費
QAI,其他
QBTS,科技
QCLN,其他
QCML,其他
QDEF,其他
QDPL,其他
QFIN,金融
QLD,其他
QNST,通訊
QQEW,其他
QQH,其他
QQQ,其他
QQQA,其他
QQQM,其他
QRVO,科技
QSR,消費
QTOP,其他
QURE,醫療
QUS,其他
QXO,工業
QYLG,其他
R,工業
RACE,消費
RAPP,醫療
RARE,醫療
RBA,工業
RCL,消費
RCUS,醫療
RDDT,通訊
RDTL,其他
RDVI,其他
RELX,工業
RES,能源
REYN,消費
REZI,工業
RF,金融
RGTI,科技
RGTX,其他
RHI,工業
RIGL,醫療
RIOX,其他
RITM,房地產
RJF,金融
RLJ,房地產
RLY,其他
RMAX,房地產
RMBS,科技
RNG,科技
RNR,金融
RNST,金融
RNW,公用事業
ROAD,工業
ROE,其他
ROK,工業
ROL,消費
ROM,其他
ROOT,金融
ROP,科技
RRX,工業
RSP,其他
RSPT,其他
RSSL,其他
RSVR,通訊
RVLV,消費
RVTY,醫療
RWK,其他
RXRX,醫療
RXT,科技
RYN,房地產
RZLV,科技
SAFE,房地產
SAIA,工業
SAIC,科技
SAR,金融
SBGI,通訊
SBRA,房地產
SCHA,其他
SCHD,其他
SCHH,其他
SCHJ,其他
SCHL,通訊
SCHM,其他
SCHY,其他
SCI,消費
SCJ,其他
SCSC,科技
SCZ,其他
SEA,其他
SECT,其他
SEDG,科技
SEG,房地產
SEI,能源
SEIC,金融
SERV,工業
SEZL,金融
SFY,其他
SG,消費
SGOL,其他
SGU,能源
SH,其他
SHC,醫療
SHEN,通訊
SHV,其他
SHW,原物料
SIBN,醫療
SIGI,金融
SIRI,通訊
SITE,工業
SIXG,其他
SJNK,其他
SKM,通訊
SKT,房地產
SKWD,金融
SKYH,房地產
SLDE,金融
SLDP,消費
SLF,金融
SLG,房地產
SLM,金融
SLRC,金融
SLS,醫療
SLSR,原物料
SLYV,其他
SMFG,金融
SMN,其他
SNDL,防禦性消費
SNDR,工業
SNN,醫療
SNPE,其他
SNPS,科技
SOBO,能源
SOHU,通訊
SONY,科技
SOUN,科技
SOXL,其他
SOXY,其他
SPCE,工業
SPEM,其他
SPHB,其他
SPHY,其他
SPMB,其他
SPMO,其他
SPNT,金融
SPSB,其他
SPTI,其他
SPTL,其他
SPTM,其他
SPXS,其他
SPYD,其他
SPYG,其他
SPYH,其他
SPYT,其他
SPYV,其他
SPYX,其他
SR,公用事業
SRCE,金融
SRLN,其他
SRPT,醫療
SSG,其他
SSSS,金融
STAA,醫療
STE,醫療
STEX,金融
STHH,其他
STLD,原物料
STRA,防禦性消費
STRF,科技
STRV,其他
STWD,房地產
STX,科技
SUIG,金融
SUNB,工業
SWK,工業
SYBT,金融
SYLD,其他
T,通訊
TALK,醫療
TAN,其他
TARA,醫療
TARS,醫療
TBBK,金融
TBF,其他
TCBK,金融
TCBX,金融
TCMD,醫療
TD,金融
TDAY,通訊
TDS,通訊
TDY,科技
TE,工業
TEAM,科技
TERG,其他
TESL,其他
TEVA,醫療
TFC,金融
TGB,原物料
TGS,能源
THFF,金融
THO,消費
TIGO,通訊
TIMB,通訊
TMDX,醫療
TMFC,其他
TNA,其他
TNC,工業
TNDM,醫療
TNET,工業
TNXP,醫療
TOI,醫療
TOL,消費
TOTL,其他
TOWN,金融
TPB,防禦性消費
TRDA,醫療
TRFK,其他
TRGP,能源
TRIN,金融
TRMD,能源
TRMK,金融
TROW,金融
TS,能源
TSHA,醫療
TSPY,其他
TSSI,科技
TTC,工業
TTEK,工業
TUR,其他
TUSK,工業
TVTX,醫療
TWM,其他
TYRA,醫療
UAA,消費
UBEW,其他
UFPT,醫療
UGL,其他
UHS,醫療
UHT,房地產
ULS,工業
UMC,科技
UMDD,其他
UMH,房地產
UNH,醫療
UPRO,其他
UPWK,通訊
URI,工業
URTH,其他
URTY,其他
USAU,原物料
USD,其他
USHY,其他
USPX,其他
USRT,其他
USXF,其他
UTES,其他
UTHR,醫療
UTHY,其他
UUUU,能源
UWM,其他
UXRP,其他
VAC,消費
VB,其他
VBK,其他
VC,消費
VCEB,其他
VCRB,其他
VCSH,其他
VERA,醫療
VEU,其他
VFMF,其他
VFMO,其他
VIK,消費
VIST,能源
VITL,防禦性消費
VLY,金融
VMI,工業
VNET,科技
VNLA,其他
VNO,房地產
VNT,科技
VOD,通訊
VOO,其他
VOXR,原物料
VOYA,金融
VPG,科技
VPLS,其他
VREX,醫療
VRRM,科技
VRT,工業
VSCO,消費
VSGX,其他
VTEB,其他
VTEC,其他
VTIP,其他
VTS,能源
VTWO,其他
VWOB,其他
W,消費
WAFD,金融
WASH,金融
WAT,醫療
WAY,醫療
WDC,科技
WDIV,其他
WEX,科技
WH,消費
WHR,消費
WING,消費
WIT,科技
WIX,科技
WKC,能源
WLTH,科技
WLY,通訊
WMK,防禦性消費
WMS,工業
WOLF,科技
WPP,通訊
WRBY,醫療
WRD,科技
WSBF,金融
WSFS,金融
WST,醫療
WTMF,其他
WULX,其他
WWW,消費
WYNN,消費
XAIX,其他
XBIL,其他
XES,其他
XLC,其他
XLE,其他
XLF,其他
XLG,其他
XLI,其他
XLP,其他
XLRE,其他
XNCR,醫療
XNDU,科技
XNET,科技
XPEG,其他
XPH,其他
XRPZ,其他
XRX,工業
XSHD,其他
XXI,金融
XYZ,科技
YUMC,消費
ZBIO,醫療
ZD,通訊
ZENA,科技
ZG,通訊
ZLAB,醫療
ZTO,工業
ZURA,醫療
ZVRA,醫療
ZWS,工業
PJP,其他
ABCB,金融
ACAD,醫療
AGEN,醫療
AIRR,其他
AIZ,金融
ALLW,其他
ANAB,醫療
ANGI,通訊
APPS,科技
APPX,其他
ARCB,工業
ARDT,醫療
AUR,科技
AXON,工業
BC,消費
BILL,科技
BIOA,醫療
BYD,消費
CASY,消費
CBRL,消費
CGNX,科技
CHRW,工業
COMP,Real Estate
CRL,醫療
DDOG,科技
DHC,Real Estate
DPST,其他
DRS,工業
ENS,工業
FAST,工業
FCNCA,金融
FIBK,金融
FITB,金融
FLS,工業
FTRE,醫療
GEHC,醫療
GIF,其他
GLL,其他
GOOW,其他
GSL,工業
HITI,醫療
HOPE,金融
HSAI,消費
HXL,工業
IBOT,其他
IFRX,醫療
ILPT,Real Estate
IMAX,通訊
INN,Real Estate
JELD,工業
JPM,金融
KBE,其他
KMT,工業
KRC,Real Estate
KSS,消費
LAC,Basic Materials
LEU,能源
LEUX,其他
LION,其他
LYTS,科技
MAGS,其他
MC,金融
MCO,金融
MEDP,醫療
MJ,其他
MNRO,消費
MSM,工業
MTN,消費
NABL,科技
NBR,能源
NE,能源
NKE,消費
ODFL,工業
OGN,醫療
OKLL,其他
OMER,醫療
OTEX,科技
PCOR,科技
PCRX,醫療
PDLB,金融
PECO,Real Estate
PFBC,金融
PFS,金融
PGC,金融
PNC,金融
PPG,Basic Materials
PRTA,醫療
PSA,Real Estate
QCRH,金融
QGRW,其他
QLYS,科技
RBCAA,金融
REM,其他
REMX,其他
RMD,醫療
ROBO,其他
RUM,通訊
SAM,Consumer Defensive
SAN,金融
SANM,科技
SATG,其他
SDCI,其他
SMG,Basic Materials
SON,消費
SOXS,其他
SSD,Basic Materials
STRL,工業
SVXY,其他
SW,消費
TALO,能源
TCBI,金融
TDW,能源
TFII,工業
TRC,工業
TRST,金融
UAMY,Basic Materials
UBOT,其他
UEC,能源
UUUG,其他
VCTR,金融
VET,能源
VUG,其他
WEC,公用事業
WELL,Real Estate
WOOD,其他
WU,金融
XOMA,醫療
YMAG,其他
