,,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,Directional Indicators,Directional Indicators,Directional Indicators,Directional Indicators,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators
isWatchlisted,Symbol,Current Price,Previous Close,Stock Volume,52 Week High,52 Week Low,Earnings Date,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Options Impact,Call Gamma,Put Gamma,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5 day DPI,5d % DPI Volume
,IESC,607.64,600.52,99854,610.77,184.73,,600,600,195,600,480,5.894078771411266,'-232637,'-64435,0.6962,0.3768,2026-05-16,2026-05-16,108,27,0.4722,0.5185,0.7519,0.25,3.6104,'-9.101,'-0.05748414,'-0.05339554,0.7449,0.7716,0.8098,0.4834,0.5749,29.2470638137,66.99000000000001,6.3626,0.6194,10.4597
,IETC,102.64,102.54,25711,108.47,74.2,,106,95,50,106,98,,'-16336,'-688,0.0337,0.0527,2026-06-19,2026-06-19,1,0,0,,0.1053,0,23.7442,'-37.8595,'-0.2452919,'-0.2386033,0.3033,0.2062,0.4308,0.2936,0.4877,1.3345798144,20.919999999999998,88.354,0.8144,70.6712
,IEUR,74.52,74.31,293082,76.97,61.19,,70,70,63,70,65,,'-62603,'-17860,0.0441,0.0522,2026-06-19,2026-06-19,0,0,,,0.6533,,3.5052,'-7.7899,0.08396501,'-0.0861128,0.2254,0.1649,0.2798,0.4675,0.5551,0.7734468851,70.26,4.192,0.5197800000000001,4.423360000000001
,IEV,73.08,71.62,75054,74.45,59.02,,69,50,40,69,75,,'-24488,'-38485,0.1754,0.0244,2026-06-19,2026-06-19,0,0,,,1.9573,,0.6363,'-1.8342,'-0.01966041,'-0.04575786,0.2292,0.2098,0.5916,0.4652,0.7325,0.9484236571,46.760000000000005,9.3154,,
,IEX,207.36,204.8,154795,217.16,157.25,04-29 7:00 PM,200,185,110,220,210,2.6702801766759365,'-245366,'-189931,0.6738,0.2482,2026-05-16,2026-07-18,0,1,,1,0.5219,,1.2919,'-2.32,0.20285946,0.15466284,0.251,0.3485,0.9521,0.0581,0.7846,4.5050053651,37.72,0.4352,0.3828599999999999,0.48163999999999996
,IEZ,31.565,31.47,129395,31.56,15.46,,30,25,12,30,16,,'-93449,'-2176,0.4102,0.2001,2026-05-16,2026-07-18,59,0,0.1695,,0.5885,0,42.9453,'-261.2142,0.05982028,0.06650705,0.2552,0.3759,0.594,0.0878,0.7025,0.7466750615,37.9,6.7679,0.34415999999999997,17.828219999999998
,IFF,71,71.12,293135,84.45,59.14,05-06 4:15 AM,75,85,35,80,70,8.578640961364078,'-1195898,'-1083581,0.3663,0.8514,2026-06-19,2026-05-16,556,134,0.9982,0.1119,1.0364,0.241,1.1037,'-0.7827,'-0.06761566,'-0.06274802,0.3336,0.4032,0.7065,0.6857,0.6735,1.8099844726,62.41,0.486,0.6989000000000001,0.46765999999999996
,IFGL,23.14,23.69,14666,25.59,20.82,,22,14,15,14,14,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,'-0.34598604,'-0.3456848,0.2217,0.2132,0.0464,0.5335,0.4244,0.31879745,73.32,24.4433,,
,IFLN,,18.31,43748,18.73,17.76,,17,9,10,9,20,,0,'-567,0,0,2026-07-18,2026-05-16,0,0,,,,,0,0,0.10486995,0.12183206,0.0625,0.3275,0.3646,0.7175,0.4878,0.3784968125,5.56,19.054,,
,IFRA,61.3,61.1,131615,61.35,44.28,,59,59,47,59,60,,'-16181,'-6878,0.428,0.1552,2026-05-16,2026-11-21,1,0,0,,0.3235,0,2.3526,'-8.5932,'-1.13795791,'-1.11151663,0.1636,0.2466,0.3857,0.5459,0.0653,0.9510357887,75.9,38.4614,0.6884,37.33806
,IFRX,1.62,1.49,358967,1.94,0.71,,1.5,1.5,1,1.5,5,0,'-164028,'-6854,0.1609,0.0343,2026-07-18,2026-07-18,2,0,0.5,,0.0304,0,23.9317,'-42.2805,,,1.1851,0,0.3414,0,0.2206,0,56.940000000000005,0.3114,0.4148199999999999,2.6275799999999996
,IFV,27.37,27.29,12697,27.98,20.44,,26,25,20,25,19,,'-515,0,0,0,2026-07-18,2026-07-18,0,0,,,0,,,,'-0.4035309,'-0.30357143,0.269,0.1624,0.2108,0.1726,0.3277,0.2797384334,33.69,12.697,0.9831,523.1759
,IGE,60.93,61.06,38422,63.99,41.26,,61,61,45,61,51,,'-22288,'-110,0.0178,0.0195,2026-07-18,2026-07-18,0,0,,,0.0175,,202.6182,'-145.6885,0.83922427,0.78725556,0.128,0.2966,0.6134,0.0865,0.9918,1.1431165815,43.13,24.1648,0.27988,18.76362
,IGF,67.295,67.74,230695,69.6,55.78,,67,67,59,67,60,,'-51176,'-3427,0.5874,0.5512,2026-05-16,2026-05-16,0,0,,,0.25,,14.9332,'-22.1028,0.25576208,0.19344524,0.1009,0.1251,0.175,0.1633,0.8502,0.5348907404,53.38,4.2663,0.6393000000000001,4.80814
,IGHG,77.37,78.31,9948,79.56,75.85,,73,65,66,65,65,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,0.06529454,0.05499613,0.0481,0.1291,0.1903,0.1299,0.5763,0.6381254182,39.06,2487,,
,IGIB,53.505,53.52,779013,54.58,51.61,,55,55,45,55,49,,'-32466,'-41382,0.1371,0.1591,2026-10-17,2026-07-18,0,0,,,3.9677,,0.7845,'-0.3335,'-0.48780488,'-0.49610895,0.0518,0.0514,0.2382,0.4564,0.0714,0.1736368112,61.28,3.3151,0.66882,3.3907
,IGIC,26.49,26.18,11277,27.43,20.82,05-06 4:05 AM,25,25,12.5,28.85,21.35,0,'-520841,'-40257,0.3904,0.4295,2026-07-18,2026-07-18,3,1,0,0,0.1059,0.3333,12.9379,'-21.0489,'-0.05471872,'-0.11107595,0.2182,0.316,0.2697,0.095,0.3651,0.5221788803,27.589999999999996,14.6265,,
,IGLB,49.865,50.07,481180,52.6,47.36,,49,49,42,51,47,,'-446261,'-96851,0.3318,0.0014,2026-07-18,2026-10-17,3,0,0.6667,,0.3021,0,4.6077,'-9.3741,'-0.5651135,'-0.540732,0.0848,0.0847,0.2741,0.3419,0.0373,0.2676847188,30.48,4.9773,0.47386,4.20116
,IGLD,25.26,25.24,110361,30.42,20.85,,25,23,18,25,24,,'-19276,'-8352,0.4285,0.0036,2026-08-22,2026-08-22,7,4,0.5714,0.5,0.2192,0.5714,2.308,'-3.5213,'-0.05482363,'-0.04710145,0.2845,0.2208,0.0494,0.1854,0.6653,0.3517636811,47.44,392.7438,0.6202799999999999,247.21758
,IGM,142.73,142.73,188522,142.85,88.2,,145,145,70,145,147,,'-870082,'-6579,0.6055,0.3815,2026-05-16,2026-06-19,165,0,0.0182,,0.0254,0,132.2514,'-335.2089,'-0.3620202,'-0.31565657,0.2903,0.2376,0.4813,0.3138,0.241,2.1405445938,63.36000000000001,0.4293,0.54106,1.99088
,IGOV,41.81,41.82,61047,43.39,40.36,,43,43,33,43,41,,'-15429,'-11080,0.1601,0.3363,2026-07-18,2026-10-17,0,1,,0,1.0526,,1.3925,'-1.1857,0.10105914,0.1370334,0.1013,0.2036,0.2556,0.5126,0.6967,0.5374330619,13.489999999999998,14.8859,0.12023999999999999,15.09806
,IGPT,76.07,75.3,47239,75.39,38.98,,70,70,40,70,66,,'-17049,'-1437,0.0285,0.0385,2026-09-19,2026-09-19,14,0,0,,0.15,0,11.8643,'-54.1652,'-0.16733068,'-0.14305365,0.3833,0.2908,0.4596,0.6232,0.5944,1.3821397463,56.46,0.6809,,
,IGRO,87.98,87.15,28541,90.48,73.66,,85,85,74,85,73,,'-4851,0,0.1678,0.0718,2026-08-22,2026-08-22,0,0,,,0,,,,'-0.36101695,'-0.31887867,0.1869,0.2283,0.3485,0.4497,0.4185,1.255844537,63.41,18.0525,,
,IGSB,52.645,52.69,1588084,53.25,52.04,,52,54,45,53,52,,'-15711,'-393668,0,0,2026-09-19,2026-06-19,0,0,,,45.4286,,0.0399,'-0.0099,'-0.50872818,'-0.5148248,0.0269,0.0371,0.1828,0.3505,0.097,0.1233856593,85.61999999999999,2.7926,0.66672,6.15094
,IGV,85.45,85.23,6839987,117.99,73.93,,80,85,82.5,85,80,,'-235580375,'-150879746,0.3039,0.5757,2026-05-02,2026-05-02,32655,53996,0.3329,0.2161,1.0179,1.6535,1.5614,'-1.4515,'-0.09754163,'-0.11208451,0.4274,0.3881,0.7767,0.7082,0.51,2.087847188,66.58,0.3179,0.52758,0.308
,IHAK,46.93,46.7,40403,53.98,40.97,,43,43,37,50,43,,'-24096,'-10516,0.2637,0.1806,2026-09-19,2026-06-19,0,0,,,0.5758,,2.2914,'-2.6954,'-0.14261109,'-0.19101924,0.3673,0.2806,0.5109,0.8171,0.2713,0.8271173389,46.21,8.9387,0.2653333333333333,11.507066666666665
,IHDG,51.415,49.93,56860,51.97,42.08,,50,50,41,50,44,,'-1034,'-18,0.0177,0.0028,2026-08-22,2026-08-22,0,0,,,0.5,,57.4444,'-387.9231,'-0.02225519,'-0.01394311,0.2031,0.1793,0.2786,0.37,0.5101,0.5650728397,34.74,22.9367,0.41495000000000004,5.3959
,IHE,85.61,86.07,35352,92.3,62.02,,90,65,65,90,83,,'-21082,'-458,0.0545,0.0105,2026-07-18,2026-07-18,1,0,1,,0.011,0,46.0306,'-178.1237,0.21342079,0.15789474,0.2093,0.1881,0.5363,0.2643,0.7751,1.0218877107,21.84,31.6208,,
,IHF,47.11,46.61,687460,51.99,40.57,,45,45,30,47,40,,'-777200,'-304593,0.7249,0.4828,2026-05-16,2026-05-16,34,4,0.4412,1,0.7188,0.1176,2.5516,'-3.553,'-0.30133929,'-0.2875169,0.2128,0.2219,0.2212,0.3406,0.1976,0.6528283153,81.78,6.8199,0.62774,13.100060000000003
,IHI,52.735,52.8,664735,64.71,52.13,,53,54,43,58,53,,'-469815,'-369285,0.4129,0.4774,2026-05-16,2026-10-17,71,13,0,0.3846,0.6508,0.1831,1.2722,'-0.6951,'-0.06857402,'-0.09456373,0.2154,0.2189,0.6094,0.4202,0.4073,0.7295284984,71.75,8.8083,0.6291,7.1155
,IHY,21.42,21.78,3592,22.5,21.13,,21,13,14,13,13,,0,0,0,0,2026-05-16,2026-05-16,0,0,,,,,,,'-0.91301969,'-0.77069684,0.088,0.1679,0.2143,0.5302,0.1125,0.2308187843,11.61,15.6174,,
,IIIN,25.65,25.18,94647,41.64,24.35,,25,30,16.5,30,19,17.691669187333062,'-170059,'-62439,0.1731,0.0768,2026-07-18,2026-10-17,20,23,0,0.913,0.2909,1.15,2.7236,'-2.7258,'-0.13425312,'-0.14727621,0.9663,0.3653,0.2705,0.0959,0.5702,0.5805878937,70.35,10.4953,0.62002,6.5102199999999995
,IIIV,21.26,21.56,86370,33.97,19.89,05-08 4:15 AM,20,25,15,25,20,0,'-40401,'-6513,0.2043,0.2979,2026-06-19,2026-06-19,0,0,,,0.2231,,6.2031,'-3.2961,'-0.28899434,'-0.29191544,0.3928,0.6197,0.6827,0.3241,0.1542,0.8433208357,26.25,3.25,0.26016000000000006,2.09244
,IIPR,56.01,55.91,136925,59.83,44.58,05-05 4:35 AM,55,55,30,60,50,33.14832593103006,'-1439720,'-1089316,0.482,0.3566,2026-05-16,2026-05-16,299,500,0.2943,0.126,1.6191,1.6722,1.3217,'-1.738,'-0.1507079,'-0.15466512,0.3765,0.5166,0.7709,0.4186,0.3983,1.8230831282,70.41,17.7479,0.669,3.9169600000000004
,IJH,72.85,72.82,2103437,74.03,55.61,,68,68,50,68,63,,'-3004079,'-375269,0.609,0.4603,2026-05-16,2026-08-22,104,6,0.5096,0.5,0.2083,0.0577,8.0051,'-31.2545,'-0.13712047,'-0.11764706,0.185,0.2023,0.4556,0.1565,0.5796,0.9298419491,60.83,4.8468,0.66892,5.54068
,IJJ,141.22,141.31,43214,144.76,111.86,,143,143,105,143,130,,'-8745,'-5944,0,0,2026-06-19,2026-06-19,0,0,,,1.2105,,1.4712,'-2.1169,'-1.26474034,'-1.28230453,0.1516,0.243,0.4967,0.1007,0.0412,2.1674133687,30.64,24.1419,0.1568,0.8179
,IJK,108.99,109.63,233192,111.58,80.52,,107,97,65,115,107,,'-64886,'-41362,0.1677,0.2097,2026-09-19,2026-09-19,0,0,,,0.5487,,1.5687,'-2.9401,'-0.22319749,'-0.12598904,0.2225,0.1643,0.3779,0.2009,0.3347,1.136919081,66.34,24.6295,0.6057600000000001,29.11044
,IJR,136.52,136.34,2147455,137.29,97.65,,140,135,55,135,123,,'-1436470,'-224888,0.5512,0.383,2026-05-16,2027-01-16,356,12,0.0449,0,0.3673,0.0337,6.3875,'-15.2344,'-0.30257059,'-0.27801724,0.1738,0.232,0.5104,0.1059,0.1626,1.9965208609,66.58,8.6232,0.4710799999999999,10.0318
,IJS,129.075,128.65,200401,129.57,89.42,,125,125,65,125,118,,'-57646,'-14096,0.8038,0.7896,2026-05-16,2026-05-16,2,0,1,,0.3871,0,4.0895,'-10.9953,'-0.16838046,'-0.14408602,0.1443,0.2325,0.4151,0.0073,0.5182,1.8879710282,61.51,19.8142,0.48274,18.91836
,IJT,160.36,160.4,127587,161.65,118.29,,160,160,90,160,147,,'-19020,'-825,0.499,0.2527,2026-05-16,2026-07-18,1,0,1,,0.1569,0,23.0545,'-43.3256,'-0.23429844,'-0.27743087,0.2121,0.2242,0.3447,0.1884,0.3374,2.2698781796,36.11,62.6655,0.5509,43.33192
,ILCB,93.84,98.85,5419,98.85,74.25,,95,95,85,95,84,,'-2733,0,1,1,2026-05-16,2026-05-16,0,0,,,0,,,,'-0.26765799,'-1.30062444,0.1918,0.1121,0.1765,0.2522,0.0282,0.699430979,13.56,8.1366,,
,ILCG,110.61,110.13,29709,110.25,78.99,,109,107,65,107,112,,'-1698,'-4045,0.5173,1.253,2026-05-16,2026-11-21,0,1,,0,2.25,,0.4198,'-1.0245,0.42301184,0.28125,0.2573,0.1696,0.3675,0.2991,0.8992,1.1789464117,63.53,32.014,,
,ILF,36.59,36.82,1182616,38.5,24.5,,35,40,19,40,28,,'-2362936,'-247409,0.1193,0.0256,2026-09-19,2026-09-19,108,229,0.0093,0.0087,0.0878,2.1204,9.5507,'-11.2826,0.08686131,0.00725689,0.2304,0.2756,0.4894,0.5309,0.6846,0.6405094995,30.34,7.4636,0.37668,9.62078
,ILIT,21.4,20.81,10528,21.31,7.01,,20,14,8,19,10,,'-17601,'-819,0.2969,0.3627,2026-08-22,2026-08-22,1,0,1,,0.0573,0,21.4908,'-103.7959,'-0.41581197,'-0.33410351,0.4346,0.4328,0.1387,0.3282,0.3571,0.5684887963,30.240000000000002,658,,
,ILMN,129.65,127.9,367730,155.53,73.86,05-01 4:05 AM,120,90,40,150,115,4.0513782008454715,'-1275472,'-660535,0.2671,0.0982,2026-06-19,2026-06-19,288,72,0.5799,0.5139,0.503,0.25,1.931,'-3.0189,'-0.04460094,'-0.04190833,0.4027,0.5345,0.5138,0.0604,0.3024,4.3150003156,64.75,0.4914,0.6339400000000001,0.5128
,ILPT,7.58,7.4,102130,7.76,2.49,04-30 4:15 AM,7.5,7.5,5,7.5,2.5,0,'-439584,'-31886,0.2598,0.056,2026-07-18,2026-10-17,375,0,0.016,,0.1546,0,13.7861,'-14.858,'-0.60702038,'-0.53037767,0.6298,0.4872,0.0437,0.2208,0.173,0.2275629616,59.31999999999999,2.724,0.4085,2.60968
,IMAX,37.16,36.44,311634,43.16,22.54,05-01 4:05 AM,37,40,32,40,32,5.842088413535664,'-770599,'-3195029,0.0772,0.0811,2026-06-19,2026-05-16,13,23,0.6923,0.0435,4.2629,1.7692,0.2412,'-0.297,'-0.08667325,'-0.05853559,0.3405,0.4903,0.8543,0.2519,0.336,1.1277240422,88.92,0.5074,0.8506599999999999,2.95822
,IMCG,87.41,87.55,70783,88.55,69.57,,85,85,73,85,82,,'-102150,'-715,0.9574,0.9189,2026-05-16,2026-05-16,0,0,,,0.0115,,142.8671,'-399.0036,'-1.33785901,'-1.26034858,0.2302,0.1836,0.4159,0.2336,0.0567,1.0145919333,62.09,37.1955,0.44537499999999997,37.702025000000006
,IMCR,28.52,29.23,105980,40.72,27.44,,30,35,17.5,35,30,21.75166434331761,'-310807,'-124107,0.0191,0.0596,2026-07-18,2026-07-18,0,0,,,0.4201,,2.5043,'-1.84,'-0.77315953,'-0.77113548,0.3455,0.8481,0.5993,0.11,0.112,1.5647265669,48.91,0.4928,0.38072,0.5214
,IMDX,3.81,3.76,101338,8.51,2.33,,4,10,2,10,6,4.091300151545928,'-7286,'-3939,0.0641,0.0631,2026-06-19,2026-06-19,0,12,,0,0.3907,,1.8497,'-2.2186,'-1.14772098,'-0.73002099,1.9707,2.1435,0.3391,0.3357,0.6571,0.5087142587,33.89,0.3895,0.38512,0.40716
,IMKTA,90,90.63,26563,95.62,59.09,,85,85,40,85,70,24.834933290184924,'-192053,'-9337,0.4408,0.3516,2026-05-16,2026-08-22,9,1,0.6667,0,0.059,0.1111,20.569,'-63.375,'-0.11666667,'-0.14440311,0.2507,0.2957,0.26,0.0348,0.5583,1.6915540617,70.02000000000001,3.7381,,
,IMMX,9.52,9.87,157406,11.61,1.66,,10,10,5,10,7.5,0,'-97666,'-76054,0.594,0.2037,2026-05-16,2026-08-22,23,29,0,1,0.5941,1.2609,1.2842,'-7.1295,0.28786328,0.36905491,0.7928,0.9798,0.0714,0.1016,0.8659,0.6104037114,35.67,9.3427,0.25042000000000003,17.14598
,IMNM,23.48,23.57,189185,27.65,7.15,,22,10,5,30,22,7.6753959555654445,'-206628,'-214637,0.6019,0.0403,2026-05-16,2026-12-19,29,128,0.1379,1,0.5616,4.4138,0.9627,'-7.1242,'-0.00651515,'-0.00490722,0.6077,0.6521,0.0778,0.0751,0.6286,0.970144354,74.71,0.4083,0.6444799999999999,0.40286
,IMO,125.8,124.33,118022,133.37,66.46,,120,90,50,140,100,1.0616162270397882,'-399597,'-189848,0.5502,0.6793,2026-05-16,2026-05-16,4,1,1,1,0.5942,0.25,2.1048,'-5.1464,'-0.024,'-0.02911857,0.2554,0.3812,0.7748,0.1982,0.7866,2.9915165057,69.1,5.8627,0.526,5.324
,IMOS,43.45,45.79,30101,51.08,15.06,,45,60,10,60,20,45.331079143287596,'-61159,'-4638,0.3277,0.1719,2026-09-19,2026-09-19,24,0,0,,1.2598,0,13.1865,'-11.7832,'-0.69488045,'-0.68683165,0.8709,0.6546,0.2906,0.662,0.3843,1.8919481159,61.77,13.1273,,
,IMPP,4.58,4.64,223438,6.57,2.45,,5,4,2,5,3,37.13637328768477,'-2571061,'-1116467,0.1031,0.0097,2027-01-16,2027-01-16,3196,178,0.1361,0.8427,0.587,0.0557,2.3029,'-5.1931,'-0.08653568,'-0.01089124,0.3732,0.6519,0.2878,0.0793,0.5833,0.1909244461,38.690000000000005,11.1635,0.33562,8.498520000000001
,IMSR,7.62,7.8,1701612,31.5,5.33,,7.5,12.5,5,10,5,41.31396125689933,'-3597288,'-691066,0.5779,0.2601,2026-05-16,2026-05-16,13455,665,0.6571,0.6767,0.1841,0.0494,5.2054,'-5.156,0.15135458,0.12930509,0.9545,1.3124,0.3258,0.2861,0.8362,0.6461352017,47.5,0.4771,0.53532,0.42088000000000003
,IMTM,52.66,51.55,116072,53.21,41.16,,51.88,51.88,42.88,56,50,,'-15434,'-1337,0.1436,0.0836,2026-06-19,2026-06-19,0,0,,,0.075,,11.5438,'-9.1099,'-0.13614704,'-0.15277778,0.2858,0.144,0.1999,0.3821,0.4231,0.4685476236,80.58999999999999,4.9688,0.6963,7.49494
,IMTX,11.34,11.36,87685,12.41,3.94,,11,10,3,10,9,1.05401954401383,'-17240,'-549,0.0089,0.0052,2026-07-18,2026-10-17,1,5,0,1,0.1009,5,31.4026,'-78.4706,0.4407433,0.38546954,0.3506,0.9456,0.177,0.0027,0.8571,0.6780291611,57.76,3.7859,0.36597999999999997,1.8773600000000001
,IMVP,21.55,21.55,55231,27.2,19.8,,22.2,22.2,12,22.2,24.2,,'-21198,'-78,0.0165,0.0092,2026-06-19,2026-06-19,0,0,,,0.0989,,271.7692,'-3.4653,0.4659523,0.40988893,0.2658,0.2791,0.6886,0.3442,0.9,0.3796380105,26.72,1.1666,,
,IMVT,28.62,28.55,568706,30.09,13.36,,30,30,2,30,22,55.22358880701764,'-3785656,'-314988,0.6984,0.3657,2026-05-16,2026-05-16,56,0,0,,0.1511,0,12.0184,'-24.6372,0.1129081,0.16606983,0.5406,0.6702,0.3953,0.0808,0.7935,1.2077390646,67.16,0.4687,0.64922,5.94994
,IMXI,15.875,15.93,159733,15.95,8.58,,16,16,8,16,15,23.83404153519738,'-5017848,'-225067,0.0142,0.0032,2026-09-19,2026-09-19,0,0,,,0.0859,,22.2949,'-25.9522,'-1.47169811,'-1.02815177,0.0288,0.0817,0.0134,0.0009,0.1134,0.0821486461,30.680000000000003,6.7115,0.34652,3.15524
,INBK,22.56,22.61,7571,28.51,17.05,05-01 4:10 AM,22.5,20,5,22.5,15,13.698555306843051,'-129617,'-18243,0.9673,0.9906,2026-05-16,2026-05-16,0,2,,1,0.1597,,7.105,'-17.3306,'-0.05109018,'-0.1331696,0.3668,0.7329,0.4036,0.0896,0.5992,1.0459426245,39.73,0.2808,,
,INBX,131.43,129.01,200021,155.29,10.84,,120,90,5,120,105,31.637618749793003,'-258195,'-38798,0.5637,0.3157,2026-05-16,2027-01-16,348,154,0.4799,0.539,0.2111,0.4425,6.6549,'-29.2739,0.07295088,0.05706044,1.3935,1.4213,0.2893,0.2237,0.7842,11.5736863599,71.03,4.7364,0.66052,1.2923200000000001
,INCO,60.35,59.69,25955,68.02,53.19,,56,56,52,56,54,,'-5700,'-4606,0.0181,0.0042,2026-06-19,2026-06-19,0,0,,,1.3333,,1.2375,'-3.3307,0.02157676,'-0.05139992,0.2635,0.2393,0.542,0.7548,0.3198,0.9015853689,20.01,1081.4583,,
,INCY,95.72,94.66,377794,112.29,57.29,04-28 7:00 PM,100,70,85,100,85,5.226788632754371,'-1087345,'-1455475,0.2107,0.4011,2026-06-19,2026-09-19,377,228,0.8568,0.4825,1.1882,0.6048,0.7471,'-0.8192,'-0.02177554,'-0.02688302,0.2605,0.4129,0.4603,0.2527,0.3169,2.4670273307,83.25,0.4762,0.7104199999999999,0.44522000000000006
,INDA,49.395,49.53,1288004,56.01,45.21,,52,45,49,52,43,,'-47569360,'-26207328,0.345,0.3995,2026-06-19,2026-06-19,186,236,0.1989,0.1017,0.5752,1.2688,1.8151,'-2.161,'-0.06607539,'-0.05683356,0.2385,0.2217,0.512,0.4299,0.4939,0.6931011172,70.09,0.2106,0.65608,0.23216
,INDB,78.14,77.8,88290,87,56.65,,75,75,45,75,70,2.3556711058357354,'-23024,'-10374,0.4389,0.1239,2026-08-22,2026-08-22,0,5,,1,1.25,,2.2194,'-4.7379,1.01779242,0.92612045,0.2164,0.2856,0.2319,0.0534,0.9587,1.4024919523,64.7,9.6323,0.560125,3.825875
,INDI,3.96,3.65,6519938,6.05,1.9,05-08 4:30 AM,3.5,5,1,5,3,1.7439243816598644,'-4105592,'-1158672,0.4012,0.1836,2027-01-16,2027-01-16,8578,362,0.6945,0.895,0.258,0.0422,3.5434,'-6.3405,0.23747167,0.20031825,0.6135,1.1312,0.509,0.1945,0.9218,0.2606122578,78.02,0.6031,0.72306,7.607980000000002
,INDL,45.98,46.17,7167,63.92,38.9,,49,35,30,55,49,,'-95318,'-36770,0.205,0.0202,2026-07-18,2026-10-17,2,1,0,1,0.2997,0.5,2.5923,'-2.5431,'-0.18947819,'-0.20387922,0.5233,0.4537,0.5271,0.425,0.3387,1.3221819731,46.239999999999995,29.1341,,
,INDV,34.315,33.24,245955,38,10.21,04-30 7:00 PM,35,35,12.5,35,40,13.75536501314635,'-493149,'-318292,0.3845,0.6177,2026-05-16,2026-05-16,142,39,0.0211,0.8974,0.5736,0.2746,1.5494,'-1.9311,'-0.14381011,'-0.21687697,0.457,0.634,0.2453,0.2545,0.249,1.3301874645,58.08,0.4116,0.57866,4.463520000000001
,INDY,43.68,43.84,49549,54.87,40.82,,43.31,46,40,46,43.31,,'-34957,'-15955,0.0567,0.0918,2026-09-19,2026-05-16,0,0,,,0.6953,,2.191,'-0.6241,0.00889621,0.01655868,0.2343,0.2778,0.7127,0.1854,0.5779,0.7687150161,33.82,10.4204,,
,INFL,53.54,53.26,111107,55.17,40.38,,49,39,40,39,47,,'-20212,'-27995,0.6712,0.1344,2026-05-16,2026-08-22,0,0,,,2.1676,,0.722,'-17.1057,'-0.30698623,'-0.25303751,0.1538,0.1893,0.2776,0.1781,0.2922,0.6363768226,22.25,43.9158,0.47382,29.60646
,INFQ,13.38,13.26,4415403,21.28,8.52,,12.5,25,12.5,20,10,4.379867066725165,'-5701698,'-6423685,0.613,7.1068,2026-05-16,2028-01-22,7761,3074,0.5748,0.7681,0.8626,0.3961,0.8876,'-0.9304,0.13983753,0.14633523,1.1912,1.1747,0.352,0.9524,0.7333,0.9831800795,43.64,0.4412,0.46096000000000004,3.08642
,INFU,10.625,10.33,49493,11.04,4.66,,10,7.5,5,12.5,10,0,'-47787,'-27337,0.7324,0.5836,2026-05-16,2026-05-16,2,12,0.5,0.8333,0.3424,6,1.7481,'-4.6176,0.11323356,0.01609617,0.3502,0.4908,0.2329,0.0252,0.6555,0.3200128763,37.419999999999995,8.5113,,
,INFY,12.27,12.87,10459979,30,12.41,,13,9,18,14,13,6.682930571982388,'-6660063,'-16774552,0.6211,0.4925,2026-05-16,2026-12-19,3671,4288,0.5432,0.8244,2.6894,1.1681,0.397,'-0.1425,'-0.14205999,'-0.19971838,0.3955,0.4261,0.6159,0.1131,0.1958,0.3461406931,47.839999999999996,0.4827,0.50644,0.47825999999999996
,ING,28.05,27.95,510812,31.18,19.07,,29,26,15,29,28,18.319447352945904,'-1212209,'-1270215,0.1732,0.0882,2026-06-19,2026-07-18,106,778,0.2453,0.0553,1.2325,7.3396,0.9543,'-0.8619,'-0.15598011,'-0.15149864,0.317,0.367,0.5518,0.2124,0.3975,0.6474562898,72.92,3.9312,0.63276,4.465819999999999
,INGM,30.19,30.37,379839,31.38,16.77,05-01 4:05 AM,30,30,5,30,22.5,4.281708978112224,'-239217,'-2984,0.9139,0.8445,2026-05-16,2026-05-16,0,2,,1,0.0358,,80.1666,'-53.4003,'-1.07514723,'-0.94683731,0.3018,0.4063,0.277,0.0038,0.0336,0.7788506596,50.59,5.9812,0.47847999999999996,2.54958
,INGN,7.26,7.06,54830,9.13,5.34,05-08 4:05 AM,7.5,5,5,7.5,12.5,0,'-70910,'-4794,0.0864,0.0183,2026-06-19,2026-06-19,2,0,0,,0.082,0,14.7914,'-23.3437,'-0.4586219,'-0.42505765,0.4849,0.7806,0.3702,0.1326,0.2988,0.3478530581,63.49,2.9006,0.1449,2.42565
