,,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,Directional Indicators,Directional Indicators,Directional Indicators,Directional Indicators,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators
isWatchlisted,Symbol,Current Price,Previous Close,Stock Volume,52 Week High,52 Week Low,Earnings Date,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Options Impact,Call Gamma,Put Gamma,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5 day DPI,5d % DPI Volume
,ABT,92.88,91.13,4916929,139.06,90.72,,90,150,100,105,90,11.049771250460747,'-14967267,'-24982245,0.1334,0.0397,2026-05-16,2028-03-18,4856,5119,0.2916,0.3415,0.8919,1.0542,0.5991,'-0.251,0.04487179,'-0.00695518,0.2815,0.2588,0.4972,0.3793,0.844,1.4886349807,28.810000000000002,0.4918,0.34408000000000005,0.49322
,ABUS,4.275,4.2,6546587,5.1,2.94,,4,4,4,6,4,9.137735384073277,'-885721,'-1240706,0.1038,0.898,2026-06-19,2027-01-16,81,14,0.5432,0.2857,0.8385,0.1728,0.7139,'-0.9554,0.02029915,'-0.13577982,0.4337,0.436,0.0079,0.6614,0.41,0.1155841697,11.19,26.7576,0.41022,11.76468
,ABVX,111.75,114.52,343487,148.83,5.59,,110,130,50,130,110,67.57775320662792,'-4156571,'-2230722,0.1957,0.1022,2026-05-16,2026-06-19,4800,1012,0.3771,0.2391,0.5839,0.2108,1.8633,'-3.1184,0.6354067,0.239276,0.6057,0.9558,0.4019,0.5453,0.7415,6.9089323992,43.76,6.6148,0.31874,3.13476
,ACA,120.41,119.48,75695,131,77.9,05-01 4:15 AM,125,100,55,125,90,2.3248593247130303,'-43799,'-6376,0.6874,0.6622,2026-05-16,2026-05-16,2,0,0.5,,0.3717,0,6.8694,'-12.8559,'-0.09997659,'-0.07336562,0.3066,0.413,0.7173,0.069,0.4098,3.1146399041,61.11,0.5344,0.7115,0.50935
,ACAD,22.31,21.97,210966,28.35,14.18,05-07 4:05 AM,22,21,13,26,22,5.553814741679531,'-971326,'-790212,0.1952,20.6503,2026-06-19,2026-05-16,11,1,0.3636,0,0.5325,0.0909,1.2292,'-0.9883,0.13847656,0.04802143,0.3762,0.4852,0.3204,0.0217,0.5766,0.6728425172,52.93,0.3254,0.5054000000000001,0.36862
,ACDC,7.15,7.38,424658,10.7,3.08,,7,7,2,8,4,6.221262973120353,'-661296,'-51673,0.8229,0.7344,2026-05-16,2026-05-16,244,40,0.3156,1,0.1741,0.1639,12.7977,'-24.246,'-0.15098745,'-0.10320539,0.6626,0.9796,0.4676,0.1069,0.5492,0.4563181216,45.739999999999995,0.4747,0.4407,0.50118
,ACEL,12.355,12.31,71076,13.31,9.55,05-06 4:15 AM,12.5,12.5,5,12.5,10,0,'-178057,'-810,0.0937,0.1169,2026-07-18,2026-07-18,0,0,,,0.01,,219.8235,'-162.9147,0.85544402,0.65668595,0.2277,0.5878,0.3911,0.0204,0.9791,0.4567201919,47.010000000000005,0.439,,
,ACES,35.42,35.61,25697,37.57,21.79,,36,36,25,36,30,,'-34069,'-20191,0.0055,0.0038,2026-06-19,2026-09-19,0,0,,,1.5217,,1.6873,'-2.7425,'-0.0326609,'-0.01589528,0.2789,0.2139,0.1588,0.2704,0.6585,0.4807788298,66,0.2381,0.4619,0.46046666666666664
,ACET,7.88,7.9,16392,17.44,6.01,,7.5,7.5,1,7.5,2.5,41.871134661468744,'-77499,'-5700,0.7945,0.8384,2026-05-16,2026-05-16,0,2,,1,0.0567,,13.5963,'-21.7601,1.23091819,0.82340358,0.8868,1.2622,0.1182,0.0982,0.8152,0.629387111,28.84,11.6008,0.2965,13.0899
,ACGL,96.35,96.19,453699,103.39,82.45,04-29 4:25 AM,90,105,55,105,90,4.416721586140436,'-321238,'-847807,0.2209,0.1469,2026-09-19,2026-06-19,63,93,0.5397,0.9892,2.8229,1.4762,0.3789,'-0.443,'-0.04188482,'-0.07007356,0.2126,0.2583,0.4362,0.25,0.6721,1.5682558228,56.89999999999999,0.3796,0.57896,0.4324
,ACHR,5.93,5.7,12638135,14.62,4.8,,6,7,6,7,6,9.35437607107314,'-32264280,'-19549099,0.2082,0.0843,2026-05-02,2027-01-16,20366,7655,0.1995,0.6781,0.2757,0.3759,1.6504,'-2.154,'-0.00764505,'-0.0105203,0.5522,0.8745,0.4262,0.0389,0.172,0.3146279114,30.39,0.6649,0.3493,0.6253400000000001
,ACI,16.58,16.62,1999559,22.78,15.8,,17,20,16,17,15,7.237778975594419,'-3849201,'-2764778,0.0699,0.0015,2026-07-18,2028-01-22,249,191,0.5502,0.2094,0.5853,0.7671,1.3922,'-1.5955,'-0.11162791,'-0.0408805,0.3053,0.318,0.6075,0.2179,0.596,0.3335959099,60.34,0.472,0.4382400000000001,0.49781999999999993
,ACIC,12.125,12.02,67589,13.06,9.97,05-06 4:05 AM,11.25,11.25,3,12.25,10.25,83.46272439498493,'-1641531,'-1481407,0.9865,0.972,2026-05-16,2026-05-16,0,0,,,0.8781,,1.1081,'-4.2436,0.11176471,'-0.10102096,0.2321,0.3722,0.2735,0,0.3522,0.2823861642,30.14,0.4613,0.1904,0.38
,ACIO,44.76,45.01,89533,45.08,37.44,,42,42,34,45,44,,'-20762,'-15113,0.799,0.9968,2026-05-16,2026-05-16,0,0,,,0.2762,,1.3738,'-29.5629,'-0.89218524,'-0.88243728,0.1216,0.1395,0.1285,0.3976,0.0041,0.3963198258,30.56,0.9654,0.6281,0.9030499999999999
